Year,ETI,Score,Place
1980,7.5,7,SE_Aust
1981,7.5,7,SE_Aust
1982,7.5,7,SE_Aust
1983,7.5,7,SE_Aust
1984,7.4,7,SE_Aust
1985,7.4,7,SE_Aust
1986,7.2,6,SE_Aust
1987,7.2,6,SE_Aust
1988,7,6,SE_Aust
1989,7,6,SE_Aust
1990,6.9,6,SE_Aust
1991,6.8,6,SE_Aust
1992,6.7,6,SE_Aust
1993,6.6,6,SE_Aust
1994,6.4,5,SE_Aust
1995,6.2,5,SE_Aust
1996,5.6,5,SE_Aust
1997,5.3,4,SE_Aust
1998,5.5,4,SE_Aust
1999,6.2,5,SE_Aust
2000,5.5,5,SE_Aust
2001,5.3,4,SE_Aust
2002,5.7,5,SE_Aust
2003,6.3,5,SE_Aust
2004,6.2,5,SE_Aust
2005,5.9,5,SE_Aust
2006,6.1,5,SE_Aust
2007,5.9,5,SE_Aust
2008,5.9,5,SE_Aust
2009,5.7,5,SE_Aust
2010,5.6,5,SE_Aust
2011,5.9,5,SE_Aust
2012,5.7,5,SE_Aust
2013,5.5,5,SE_Aust
2014,5.5,5,SE_Aust
2015,4.9,4,SE_Aust
2016,4.8,4,SE_Aust
2017,5.9,5,SE_Aust
2018,6,5,SE_Aust
2019,4.9,4,SE_Aust
1971,7.1,6,East_Bering_Sea
1972,7.3,6,East_Bering_Sea
1973,7.4,7,East_Bering_Sea
1974,7.4,7,East_Bering_Sea
1975,7.4,7,East_Bering_Sea
1976,7.4,7,East_Bering_Sea
1977,7.4,7,East_Bering_Sea
1978,7.1,6,East_Bering_Sea
1979,7.1,6,East_Bering_Sea
1980,7.1,6,East_Bering_Sea
1981,7,6,East_Bering_Sea
1982,7.1,6,East_Bering_Sea
1983,7,6,East_Bering_Sea
1984,7,6,East_Bering_Sea
1985,6.9,6,East_Bering_Sea
1986,6.9,6,East_Bering_Sea
1987,6.7,6,East_Bering_Sea
1988,6.7,6,East_Bering_Sea
1989,6.7,6,East_Bering_Sea
1990,6.7,6,East_Bering_Sea
1991,6.7,6,East_Bering_Sea
1992,6.7,6,East_Bering_Sea
1993,6.7,6,East_Bering_Sea
1994,6.7,6,East_Bering_Sea
1995,6.6,6,East_Bering_Sea
1996,6.6,6,East_Bering_Sea
1997,6.6,6,East_Bering_Sea
1998,6.7,6,East_Bering_Sea
1999,6.7,6,East_Bering_Sea
2000,6.7,6,East_Bering_Sea
2001,6.7,6,East_Bering_Sea
2002,6.7,6,East_Bering_Sea
2003,6.7,6,East_Bering_Sea
2004,6.7,6,East_Bering_Sea
2005,6.7,6,East_Bering_Sea
2006,6.7,6,East_Bering_Sea
2007,6.7,6,East_Bering_Sea
2008,6.7,6,East_Bering_Sea
2009,6.7,6,East_Bering_Sea
2010,6.7,6,East_Bering_Sea
2011,6.7,6,East_Bering_Sea
2012,6.6,6,East_Bering_Sea
2013,6.6,6,East_Bering_Sea
2014,6.6,6,East_Bering_Sea
2015,6.6,6,East_Bering_Sea
2016,6.6,6,East_Bering_Sea
2017,6.7,6,East_Bering_Sea
1990,5.6,5,Kerala_India
1991,5.6,5,Kerala_India
1992,5.6,5,Kerala_India
1993,5.6,5,Kerala_India
1994,5.4,4,Kerala_India
1995,5.4,4,Kerala_India
1996,5.4,4,Kerala_India
1997,5.6,5,Kerala_India
1998,5.6,5,Kerala_India
1999,5.8,5,Kerala_India
2000,5.4,4,Kerala_India
2001,4.4,3,Kerala_India
2002,4.3,3,Kerala_India
2003,4.3,3,Kerala_India
2004,4.3,3,Kerala_India
2005,4.3,3,Kerala_India
2006,4.2,3,Kerala_India
2007,4.2,3,Kerala_India
2008,4.2,3,Kerala_India
2009,4.3,3,Kerala_India
2010,4.3,3,Kerala_India
2011,4.2,3,Kerala_India
2012,4.2,3,Kerala_India
2013,4.2,3,Kerala_India
2014,4.2,3,Kerala_India
2015,4.2,3,Kerala_India
2016,4.3,3,Kerala_India
2017,4.2,3,Kerala_India
2006,3.8,3,Nth_Central_Chile
2007,3.8,3,Nth_Central_Chile
2008,3.8,3,Nth_Central_Chile
2009,3.8,3,Nth_Central_Chile
2010,3.8,3,Nth_Central_Chile
2011,3.8,3,Nth_Central_Chile
2012,3.8,3,Nth_Central_Chile
2013,3.8,3,Nth_Central_Chile
2014,3.7,2,Nth_Central_Chile
2015,3.7,2,Nth_Central_Chile
2016,3.7,2,Nth_Central_Chile
2017,3.8,3,Nth_Central_Chile
2018,3.7,2,Nth_Central_Chile
