Year,Gao_S,Gao_H,Place,Scenario
2020,0.234500448,38.69237325,SE_Aust,climate_change
2021,0.243465952,34.23983831,SE_Aust,climate_change
2022,0.253572564,33.99483161,SE_Aust,climate_change
2023,0.250846201,32.77288841,SE_Aust,climate_change
2024,0.254739845,32.7351847,SE_Aust,climate_change
2025,0.254824123,32.79661721,SE_Aust,climate_change
2026,0.255482691,32.75155818,SE_Aust,climate_change
2027,0.256559585,32.98159621,SE_Aust,climate_change
2028,0.244022431,31.79994947,SE_Aust,climate_change
2029,0.254465599,32.3220143,SE_Aust,climate_change
2030,0.259159666,32.91150466,SE_Aust,climate_change
2031,0.25486541,33.06318973,SE_Aust,climate_change
2032,0.241274859,31.6670685,SE_Aust,climate_change
2033,0.247801312,31.84295959,SE_Aust,climate_change
2034,0.258713781,32.6067434,SE_Aust,climate_change
2035,0.251771773,32.22706507,SE_Aust,climate_change
2036,0.254071279,32.10077957,SE_Aust,climate_change
2037,0.258163611,32.59525478,SE_Aust,climate_change
2038,0.246954565,31.86121199,SE_Aust,climate_change
2039,0.254960132,32.72799571,SE_Aust,climate_change
2040,0.265084479,33.80969994,SE_Aust,climate_change
2020,0.234500448,38.69237325,SE_Aust,marine_heat_wave
2021,0.242724945,32.55045154,SE_Aust,marine_heat_wave
2022,0.251629277,31.32993324,SE_Aust,marine_heat_wave
2023,0.24914359,18.03349425,SE_Aust,marine_heat_wave
2024,0.253758468,35.63924393,SE_Aust,marine_heat_wave
2025,0.252251549,19.79651067,SE_Aust,marine_heat_wave
2026,0.254348353,33.13061396,SE_Aust,marine_heat_wave
2027,0.252915286,38.10936841,SE_Aust,marine_heat_wave
2028,0.241325269,21.05633297,SE_Aust,marine_heat_wave
2029,0.251135668,29.09618268,SE_Aust,marine_heat_wave
2030,0.256754757,22.68887319,SE_Aust,marine_heat_wave
2031,0.252878036,30.52873805,SE_Aust,marine_heat_wave
2032,0.233354607,29.06099566,SE_Aust,marine_heat_wave
2033,0.247703432,55.40435541,SE_Aust,marine_heat_wave
2034,0.257108748,39.50638026,SE_Aust,marine_heat_wave
2035,0.250233225,41.79227024,SE_Aust,marine_heat_wave
2036,0.253030557,24.4342297,SE_Aust,marine_heat_wave
2037,0.255870772,23.58606733,SE_Aust,marine_heat_wave
2038,0.245544989,33.82910036,SE_Aust,marine_heat_wave
2039,0.247484599,10.54553694,SE_Aust,marine_heat_wave
2040,0.258410642,14.42598867,SE_Aust,marine_heat_wave
2020,0.23686678,38.69237325,SE_Aust,reduce_F
2021,0.237019836,39.14878892,SE_Aust,reduce_F
2022,0.237218798,40.15125925,SE_Aust,reduce_F
2023,0.237338036,40.1589203,SE_Aust,reduce_F
2024,0.237449111,40.1600828,SE_Aust,reduce_F
2025,0.237554884,40.2575135,SE_Aust,reduce_F
2026,0.237650325,40.31388894,SE_Aust,reduce_F
2027,0.237734371,40.35011177,SE_Aust,reduce_F
2028,0.237808325,40.46371657,SE_Aust,reduce_F
2029,0.237873509,40.54266387,SE_Aust,reduce_F
2030,0.23793175,40.39112839,SE_Aust,reduce_F
2031,0.237983751,40.41357162,SE_Aust,reduce_F
2032,0.238030716,40.53255598,SE_Aust,reduce_F
2033,0.23807304,40.62958244,SE_Aust,reduce_F
2034,0.238111073,40.67651617,SE_Aust,reduce_F
2035,0.238145851,40.62413134,SE_Aust,reduce_F
2036,0.238177547,40.63590639,SE_Aust,reduce_F
2037,0.238206315,40.92374374,SE_Aust,reduce_F
2038,0.238232771,40.95311869,SE_Aust,reduce_F
2039,0.238257097,40.75332812,SE_Aust,reduce_F
2040,0.238279495,40.86012338,SE_Aust,reduce_F
2020,0.694134316,211.0625614,East_Bering_Sea,climate_change
2021,0.690854432,211.9921915,East_Bering_Sea,climate_change
2022,0.695852821,206.6168705,East_Bering_Sea,climate_change
2023,0.688627627,203.1463778,East_Bering_Sea,climate_change
2024,0.69334296,199.6327313,East_Bering_Sea,climate_change
2025,0.699147183,207.8127733,East_Bering_Sea,climate_change
2026,0.705483306,211.9273927,East_Bering_Sea,climate_change
2027,0.701819346,212.8878748,East_Bering_Sea,climate_change
2028,0.69318519,206.7796497,East_Bering_Sea,climate_change
2029,0.685791856,201.3774332,East_Bering_Sea,climate_change
2030,0.700558586,214.8525168,East_Bering_Sea,climate_change
2031,0.707469524,215.9570541,East_Bering_Sea,climate_change
2032,0.703872732,217.4056561,East_Bering_Sea,climate_change
2033,0.695848598,211.7628758,East_Bering_Sea,climate_change
2034,0.692574071,212.3548909,East_Bering_Sea,climate_change
2035,0.692834612,202.7176278,East_Bering_Sea,climate_change
2036,0.688606797,206.8830881,East_Bering_Sea,climate_change
2037,0.707729369,210.8379714,East_Bering_Sea,climate_change
2038,0.697033734,208.0014746,East_Bering_Sea,climate_change
2039,0.69370023,202.4746951,East_Bering_Sea,climate_change
2040,0.689211073,202.549696,East_Bering_Sea,climate_change
2020,0.694134317,211.0625622,East_Bering_Sea,marine_heat_wave
2021,0.690854427,211.9921905,East_Bering_Sea,marine_heat_wave
